,Q3_2024,Q4_2024,Q1_2025,Q2_2025
trip_miles,201168984.0,216831840.0,196907456.0,198085448.0
trip_time,46425550049.0,50898585692.0,43513026599.0,46241452774.0
base_passenger_fare,1043162080.0,1161490304.0,1048949984.0,1115486816.0
tolls,48932345.0,55635288.0,46699108.0,47621373.0
bcf,29218217.0,32451307.0,26899189.0,27654800.0
sales_tax,87721970.0,96493664.0,87441962.0,92245704.0
congestion_surcharge,39445796.0,42242095.0,38872047.0,38395910.0
airport_fee,9091032.5,9387682.5,8285960.0,9063737.5
tips,44645953.0,51294965.0,42351361.0,47663394.0
driver_pay,787690528.0,889196704.0,770460416.0,829671040.0
cbd_congestion_fee,0.0,0.0,19350720.0,19917999.0
final_rider_fare,1218125600.0,1355458144.0,1237626944.0,1311990496.0
driver_take_home,832336512.0,940491712.0,812811808.0,877334560.0
net_profit,257772451.89712384,275286884.4166317,280569952.23173535,288095045.63600105
wait_time_fee,2300961.6,2993352.5999999996,2080383.0,2279203.8000000003
